date,close,color,ema5,ema10,ema15,ema20,bbu,bbm,bbl,mom5,mom10,macd,macdsignal,macdhist,rsi
6/3/2019,1327.9,0,1305.348782,1296.630768,1293.414759,1291.956038,1330.492735,1294.531957,1258.571178,50.8,47.6,3.749259426,-0.356246429,4.105505855,69.57583613
6/4/2019,1328.7,0,1313.132521,1302.461538,1297.825414,1295.455463,1340.691821,1304.194457,1267.697093,48.6,52.5,6.158232794,0.946649416,5.211583378,69.83077951
6/5/2019,1333.6,0,1319.955014,1308.123076,1302.297238,1299.088276,1344.34314,1313.931405,1283.519671,49.9,56.5,8.36630899,2.430581331,5.935727659,71.41099009
6/6/2019,1342.7,0,1327.536676,1314.40979,1307.347583,1303.241773,1344.05276,1323.454508,1302.856256,50.3,54.3,10.72686659,4.089838383,6.637028208,74.12188969
6/7/2019,1346.1,1,1333.724451,1320.171646,1312.191635,1307.323509,1346.889315,1332.155409,1317.421502,35,59.7,12.72528788,5.816928283,6.908359601,75.07294864
6/10/2019,1329.3,0,1332.249634,1321.831347,1314.330181,1309.416508,1351.486206,1337.321235,1323.156264,1.4,52.2,12.80581411,7.214705448,5.591108659,62.79289108
6/11/2019,1331.2,0,1331.899756,1323.534738,1316.438908,1311.491126,1352.710976,1339.477443,1326.24391,2.5,51.1,12.8745362,8.346671598,4.527864602,63.51967389
6/12/2019,1336.8,0,1333.533171,1325.946604,1318.984045,1313.901495,1353.193173,1340.292692,1327.392212,3.2,53.1,13.22838358,9.323013995,3.905369587,65.64943878
6/13/2019,1343.7,0,1336.922114,1329.174494,1322.073539,1316.739448,1354.533341,1341.273235,1328.01313,1,51.3,13.90529098,10.23946939,3.665821585,68.11916275
6/14/2019,1344.5,1,1339.448076,1331.96095,1324.876847,1319.38331,1355.024529,1342.564673,1330.104818,-1.6,33.4,14.34098434,11.05977238,3.281211957,68.4028165
6/17/2019,1342.9,0,1340.598717,1333.949868,1327.129741,1321.622995,1353.885145,1343.692284,1333.499424,13.6,15,14.39127419,11.72607274,2.665201445,67.11663091
6/18/2019,1350.7,1,1343.965811,1336.995347,1330.076023,1324.392234,1354.227968,1345.378651,1336.529335,19.5,22,14.88889416,12.35863703,2.530257137,70.07110163
6/19/2019,1348.8,0,1345.577208,1339.141647,1332.41652,1326.716783,1353.2287,1347.096294,1340.963888,12,15.2,14.9575264,12.8784149,2.079111503,68.45760245
6/20/2019,1396.9,0,1362.684805,1349.643166,1340.476955,1333.400899,1394.67093,1354.137368,1313.603807,53.2,54.2,18.677879,14.03830772,4.639571278,80.62241833
6/21/2019,1400.1,0,1375.156537,1358.817136,1347.929836,1339.753194,1415.270529,1364.963567,1314.656606,55.6,54,21.6351025,15.55766668,6.07743582,81.1434483
6/24/2019,1418.2,0,1389.504358,1369.61402,1356.713606,1347.224318,1434.83155,1378.706176,1322.580802,75.3,88.9,25.14933626,17.47600059,7.673335669,83.7972325
6/25/2019,1418.7,1,1399.236239,1378.538744,1364.461906,1354.031526,1443.609878,1392.602961,1341.596044,68,87.5,27.65593723,19.51198792,8.143949311,83.86478698
6/26/2019,1415.4,1,1404.624159,1385.24079,1370.829167,1359.876143,1422.965677,1404.169678,1385.373678,66.6,78.6,29.04138315,21.41786697,7.623516185,81.45104834
6/27/2019,1414.9,0,1408.049439,1390.633374,1376.338021,1365.11651,1426.217644,1412.528174,1398.838703,18,71.2,29.75600451,23.08549448,6.670510031,81.07032173
6/28/2019,1416.7,1,1410.93296,1395.37276,1381.383269,1370.029223,1421.03351,1418.047141,1415.060772,16.6,72.2,30.12038301,24.49247218,5.627910827,81.40725756
7/1/2019,1392.4,0,1404.755306,1394.832259,1382.76036,1372.159774,1437.820393,1418.421671,1399.02295,-25.8,49.5,28.12415098,25.21880794,2.905343035,64.67180691
7/2/2019,1411.2,0,1406.903538,1397.808212,1386.315315,1375.87789,1435.43619,1417.343363,1399.250535,-7.5,60.5,27.73936347,25.72291905,2.016444426,69.83800048
7/3/2019,1424.2,1,1412.669025,1402.606719,1391.050901,1380.479996,1438.877249,1417.6345,1396.391751,8.8,75.4,28.15881072,26.21009738,1.948713337,72.80002064
7/4/2019,1400.1,0,1408.47935,1402.150952,1392.182038,1382.348568,1439.153145,1416.35125,1393.549355,-14.8,3.2,26.24403223,26.21688435,0.027147877,60.866592
7/5/2019,1403.4,1,1406.786233,1402.378051,1393.584283,1384.353466,1435.649389,1414.025846,1392.402303,-13.3,3.3,24.70802022,25.91511153,-1.207091303,61.79020498
7/8/2019,1403.3,0,1405.624156,1402.545678,1394.798748,1386.157898,1428.735062,1411.359861,1393.98466,10.9,-14.9,23.21504192,25.37509761,-2.160055681,61.74264974
7/9/2019,1403.9,0,1405.049437,1402.791919,1395.936404,1387.847622,1426.362854,1408.933959,1391.505063,-7.3,-14.8,21.82863395,24.66580487,-2.837170925,61.93196044
7/10/2019,1415.8,1,1408.632958,1405.157024,1398.419354,1390.509753,1419.218662,1408.379474,1397.540286,-8.4,0.4,21.44294526,24.02123295,-2.57828769,65.57083565
7/11/2019,1410,0,1409.088639,1406.037565,1399.866935,1392.365967,1418.507893,1408.616159,1398.724425,9.9,-4.9,20.4337254,23.30373144,-2.870006038,62.43811171
7/12/2019,1415.9,0,1411.359092,1407.830735,1401.871068,1394.607304,1420.743,1409.777308,1398.811616,12.5,-0.8,19.88081839,22.61914883,-2.738330443,64.30626334
7/15/2019,1417.3,1,1413.339395,1409.55242,1403.799684,1396.768513,1421.580177,1411.553492,1401.526808,14,24.9,19.33274801,21.96186867,-2.629120657,64.75421648
7/16/2019,1415,0,1413.89293,1410.542889,1405.199724,1398.504845,1418.202854,1413.179707,1408.156561,11.1,3.8,18.49955614,21.26940616,-2.769850021,63.3476649
7/17/2019,1427.2,0,1418.32862,1413.571455,1407.949758,1401.237717,1427.075067,1415.821339,1404.567611,11.4,3,18.60916871,20.73735867,-2.128189962,67.39350244
7/18/2019,1431.9,1,1422.852413,1416.903917,1410.943539,1404.157934,1433.175102,1419.554764,1405.934426,21.9,31.8,18.85790598,20.36146813,-1.503562155,68.82136561
7/19/2019,1430.1,0,1425.268276,1419.303205,1413.338096,1406.628607,1437.062576,1423.342517,1409.622459,14.2,26.7,18.69429095,20.0280327,-1.333741746,67.60043423
7/22/2019,1430.7,1,1427.07885,1421.37535,1415.508334,1408.921121,1438.997404,1426.624919,1414.252433,13.4,27.4,18.40092543,19.70261124,-1.301685811,67.80546243
7/23/2019,1425.5,0,1426.552567,1422.125286,1416.757292,1410.500062,1433.258592,1428.528434,1423.798275,10.5,21.6,17.54656868,19.27140273,-1.724834048,64.02404775
7/24/2019,1427.4,1,1426.835045,1423.084325,1418.087631,1412.10958,1434.110318,1429.441442,1424.772567,0.2,11.6,16.82880691,18.78288357,-1.954076654,64.79656747
7/25/2019,1418,0,1423.89003,1422.159902,1418.076677,1412.670572,1437.760467,1428.615763,1419.47106,-13.9,8,15.32481912,18.09127068,-2.766451554,58.14438719
7/26/2019,1423.5,0,1423.76002,1422.403556,1418.754592,1413.701946,1435.786213,1427.312819,1418.839426,-6.6,7.6,14.41058574,17.35513369,-2.944547952,60.68748112
7/29/2019,1424.3,0,1423.940013,1422.748364,1419.447768,1414.711285,1432.483196,1426.170542,1419.857888,-6.4,7,13.59390048,16.60288705,-3.008986565,61.05810868
7/30/2019,1435.8,1,1427.893342,1425.121389,1421.491797,1416.719734,1438.384664,1426.690563,1414.996461,10.3,20.8,13.71651004,16.02561165,-2.309101609,66.0177624
7/31/2019,1431.8,1,1429.195561,1426.335682,1422.780323,1418.15595,1440.618969,1427.953804,1415.288639,4.4,4.6,13.33716983,15.48792328,-2.150753454,63.01167123
8/1/2019,1426.5,0,1428.297041,1426.365558,1423.245282,1418.950621,1438.139848,1428.727176,1419.314504,8.5,-5.4,12.4651834,14.88337531,-2.418191906,59.16731379
8/2/2019,1451.6,0,1436.064694,1430.953638,1426.789622,1422.060086,1451.172646,1431.819506,1412.466367,28.1,21.5,13.64222898,14.63514604,-0.992917061,68.85761314
8/5/2019,1470.6,0,1447.576463,1438.162068,1432.265919,1426.682935,1470.778614,1438.717273,1406.655931,46.3,39.9,15.92461821,14.89304048,1.031577732,73.90582308
8/6/2019,1478.3,0,1457.817642,1445.459874,1438.020179,1431.598846,1489.283502,1448.33659,1407.389678,42.5,52.8,18.14558278,15.54354894,2.602033843,75.62992964
8/7/2019,1513.2,1,1476.278428,1457.77626,1447.417657,1439.370384,1520.029968,1462.430718,1404.831468,81.4,85.8,22.46291305,16.92742176,5.535491293,81.57283082
8/8/2019,1503.1,1,1485.218952,1466.01694,1454.37795,1445.439871,1521.362301,1476.84523,1432.328159,76.6,85.1,24.78375115,18.49868764,6.285063514,75.81107301
8/9/2019,1502,0,1490.812635,1472.559315,1460.330706,1450.82655,1521.328022,1488.980757,1456.633491,50.4,78.5,26.2318864,20.04532739,6.186559011,75.18817775
8/12/2019,1510.9,1,1497.508423,1479.530348,1466.651868,1456.547831,1523.725657,1498.966012,1474.206368,40.3,86.6,27.77749793,21.5917615,6.185736436,76.84583061
8/13/2019,1507.9,0,1500.972282,1484.688467,1471.807884,1461.438514,1514.872264,1506.210255,1497.548246,29.6,72.1,28.43257822,22.95992484,5.472653376,75.02627947
8/14/2019,1521.6,0,1507.848188,1491.399655,1478.031899,1467.168179,1526.517451,1512.450753,1498.384054,8.4,89.8,29.71467727,24.31087533,5.403801938,77.63107194
8/15/2019,1525.1,1,1513.598792,1497.52699,1483.915411,1472.685496,1535.29178,1518.074579,1500.857378,22,98.6,30.6597443,25.58064912,5.079095177,78.25506555
8/16/2019,1517.5,1,1514.899195,1501.158447,1488.113485,1476.953544,1534.67072,1521.825799,1508.980878,15.5,65.9,30.44451483,26.55342226,3.891092568,73.4628849
8/19/2019,1505.5,0,1511.76613,1501.94782,1490.286799,1479.672254,1537.590602,1522.329461,1507.068321,-5.4,34.9,28.97167676,27.03707316,1.934603598,66.53467411
8/20/2019,1509.7,1,1511.07742,1503.357307,1492.713449,1482.532039,1535.576605,1520.981044,1506.385483,1.8,31.4,27.82262498,27.19418353,0.628441451,67.68343855
8/21/2019,1509.6,1,1510.584947,1504.492342,1494.824268,1485.10994,1532.816593,1518.83924,1504.861887,-12,-3.6,26.59732657,27.07481214,-0.477485565,67.62391736
8/22/2019,1502.3,0,1507.823298,1504.093735,1495.758735,1486.747089,1525.933446,1515.727252,1505.521058,-22.8,-0.8,24.75189532,26.61022877,-1.85833345,63.25106686
8/23/2019,1531.4,1,1515.682198,1509.05851,1500.213893,1490.999747,1536.136345,1515.675651,1495.214957,13.9,29.4,25.34533927,26.35725087,-1.011911603,71.23595845
8/26/2019,1530.9,0,1520.754799,1513.02969,1504.049656,1494.799771,1542.198276,1518.123925,1494.049573,25.4,20,25.48156642,26.18211398,-0.700547565,70.95069728
8/27/2019,1545.6,1,1529.036533,1518.951565,1509.243449,1499.637888,1554.980896,1523.393912,1491.806927,35.9,37.7,26.47055844,26.23980287,0.230755565,74.2193532
8/28/2019,1542.8,1,1533.624355,1523.287644,1513.438018,1503.748565,1560.175757,1529.510337,1498.844917,33.2,21.2,26.72038913,26.33592012,0.384469004,72.54492734
8/29/2019,1533.7,1,1533.64957,1525.180799,1515.970766,1506.601083,1546.262905,1534.03219,1521.801475,31.4,8.6,25.88569364,26.24587483,-0.360181188,67.23586529
8/30/2019,1526.2,0,1531.16638,1525.366109,1517.24942,1508.467646,1550.338299,1535.761276,1521.184253,-5.2,8.7,24.33844568,25.864389,-1.525943319,63.13491144
9/2/2019,1555.9,1,1539.41092,1530.917725,1522.080743,1512.985013,1559.218689,1538.84985,1518.481011,25,50.4,25.21808393,25.73512798,-0.517044049,70.74464046
9/3/2019,1552.8,0,1543.873947,1534.896321,1525.92065,1516.776917,1565.238178,1542.812693,1520.387207,7.2,43.1,25.37258019,25.66261842,-0.290038237,69.1403774
9/4/2019,1557.2,1,1548.315964,1538.951535,1529.830569,1520.626734,1572.714798,1547.266938,1521.819077,14.4,47.6,25.5554752,25.64118978,-0.085714581,70.17420871
9/5/2019,1522.5,1,1539.710643,1535.960347,1528.914247,1520.805141,1577.932469,1547.383518,1516.834567,-11.2,20.2,22.63944736,25.0408413,-2.401393939,54.63046995
9/6/2019,1512.4,1,1530.607095,1531.676647,1526.849967,1520.004651,1580.503634,1542.763766,1505.023899,-13.8,-19,19.29111275,23.89089559,-4.599782834,51.08367043
9/9/2019,1508.1,1,1523.10473,1527.389984,1524.506221,1518.870875,1576.204744,1535.182799,1494.160854,-47.8,-22.8,16.10491199,22.33369887,-6.228786876,49.60702359
9/10/2019,1496.4,0,1514.203153,1521.755442,1520.992943,1516.730791,1566.980743,1525.564727,1484.148711,-56.4,-49.2,12.49173576,20.36530625,-7.873570487,45.7332955
9/11/2019,1500.5,0,1509.635436,1517.890816,1518.431325,1515.185002,1534.7145,1516.37486,1498.03522,-56.7,-42.3,9.845609244,18.26136685,-8.415757601,47.2867149
9/12/2019,1504.8,1,1508.023624,1515.510668,1516.72741,1514.195954,1520.58451,1509.375514,1498.166518,-17.7,-28.9,8.003252468,16.20974397,-8.206491502,48.93763289
9/13/2019,1496.8,0,1504.282416,1512.108728,1514.236483,1512.539196,1512.933588,1503.839062,1494.744536,-15.6,-29.4,5.830428754,14.13388093,-8.303452173,46.04812688
